castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
0.0,14.3,25000000,28341469.0,1.13365876,25000000,56482938.0,2.25931752,8.5,8358.0,142.0,0,1,0,0,0,0,nowomen
64.3,22.2,25000000,4064495.0,0.1625798,25000000,8128666.0,0.32514664,5.5,140.0,98.0,1,0,0,0,0,1,ok
23.1,11.1,15000000,107217396.0,7.1478264,12000000,179434792.0,14.9528993333,6.4,1684.0,86.0,0,0,0,1,0,0,men
21.4,26.7,45000000,117615211.0,2.6136713556,45000000,209730422.0,4.6606760444,6.4,287.0,119.0,1,0,0,0,0,1,ok
16.7,22.0,55000000,677945399.0,12.3262799818,55000000,1009095024.0,18.3471822545,8.2,8147.0,142.0,0,0,1,0,0,0,notalk
30.4,10.5,45000000,788241776.0,17.5164839111,79300000,1375660280.0,17.3475445145,8.0,5520.0,89.0,0,0,1,0,0,0,notalk
26.7,14.3,23000000,351583407.0,15.286235087,18000000,471540258.0,26.196681,6.6,2550.0,101.0,0,0,1,0,0,0,notalk
60.9,0.0,30000000,51132598.0,1.7044199333,30000000,102083712.0,3.4027904,6.4,535.0,83.0,0,0,0,1,0,0,men
34.4,20.0,30000000,350448145.0,11.6816048333,30000000,404448145.0,13.4816048333,6.8,1814.0,116.0,1,0,0,0,0,1,ok
18.2,16.7,27000000,101646581.0,3.7646881852,28000000,146907162.0,5.2466843571,5.5,288.0,99.0,0,0,1,0,0,0,notalk
30.0,27.8,115000000,378882411.0,3.2946296609,100000000,511582411.0,5.11582411,6.8,1138.0,141.0,0,0,1,0,0,0,notalk
15.4,9.1,35000000,99423521.0,2.8406720286,35000000,132846000.0,3.7956,4.1,330.0,102.0,1,0,0,0,0,1,ok
56.2,37.5,34000000,32255440.0,0.9486894118,34000000,64029986.0,1.8832348824,7.0,172.0,139.0,1,0,0,0,0,1,ok
13.6,7.1,50000000,119208989.0,2.38417978,50000000,161767799.0,3.23535598,5.5,445.0,104.0,0,1,0,0,0,0,nowomen
21.4,26.3,70000000,255000211.0,3.6428601571,65000000,339049211.0,5.2161417077,6.1,600.0,112.0,0,0,1,0,0,0,notalk
52.9,16.7,6900000,7993039.0,1.1584114493,6900000,15901778.0,2.3046055072,7.4,588.0,102.0,1,0,0,0,0,1,ok
21.2,14.3,44000000,368875760.0,8.38354,44000000,537591077.0,12.2179790227,7.2,1240.0,130.0,0,0,0,1,0,0,men
9.5,27.3,63000000,920100000.0,14.6047619048,63000000,1431335177.0,22.7196059841,7.6,4956.0,127.0,1,0,0,0,0,1,ok
31.2,44.4,25000000,441286195.0,17.6514478,25000000,660481054.0,26.41924216,7.0,1638.0,125.0,1,0,0,0,0,1,ok
15.0,27.8,11500000,23237911.0,2.020687913,15000000,86909936.0,5.7939957333,7.5,213.0,134.0,0,1,0,0,0,0,nowomen
26.7,18.8,22000000,321365567.0,14.6075257727,25000000,417432746.0,16.69730984,8.3,4436.0,195.0,1,0,0,0,0,1,ok
4.8,0.0,25000000,48063435.0,1.9225374,40000000,63671200.0,1.59178,5.4,140.0,108.0,0,1,0,0,0,0,nowomen
33.3,20.0,28000000,33139618.0,1.1835577857,28000000,65795946.0,2.3498552143,7.9,3833.0,117.0,0,0,1,0,0,0,notalk
22.2,0.0,48000000,20915465.0,0.4357388542,42000000,41689814.0,0.992614619,4.0,236.0,104.0,0,0,0,0,1,0,dubious
12.1,16.7,25000000,56505065.0,2.2602026,25000000,113010130.0,4.5204052,7.4,632.0,130.0,1,0,0,0,0,1,ok
30.0,15.8,18000000,476684675.0,26.4824819444,15000000,762445918.0,50.8297278667,7.1,2487.0,103.0,0,0,0,1,0,0,men
53.8,23.1,22000000,505000000.0,22.9545454545,22000000,735231306.0,33.4196048182,6.9,1381.0,127.0,0,0,0,1,0,0,men
20.0,12.9,28000000,504050219.0,18.0017935357,28000000,721400438.0,25.7643013571,7.4,3495.0,90.0,0,1,0,0,0,0,nowomen
16.1,24.1,100000000,520000000.0,5.2,100000000,721675647.0,7.21675647,7.7,4274.0,137.0,0,0,0,0,1,0,dubious
12.5,9.1,35000000,411348924.0,11.7528264,35000000,662537848.0,18.9296528,7.0,2145.0,126.0,0,0,1,0,0,0,notalk
