castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
0.0,0.0,4000000,11744471.0,2.93611775,0,7.8,731.0,172.0,1963.0,0.4658,en,14.384114,The Great Escape,The Great Escape
45.5,15.8,15000000,50000000.0,3.3333333333,0,7.8,943.0,183.0,1978.0,0.9342,en,7.729445,The Deer Hunter,The Deer Hunter
35.0,22.7,14600000,70906973.0,4.8566419863,0,7.4,2358.0,101.0,1993.0,0.1123,en,12.989627,Groundhog Day,Groundhog Day
20.8,9.5,14000000,159157447.0,11.3683890714,0,7.7,1133.0,131.0,1992.0,0.5984,en,10.942149,Unforgiven,Unforgiven
37.5,0.0,80000000,96105910.0,1.201323875,0,7.7,188.0,126.0,1962.0,0.811,en,7.991677,The Manchurian Candidate,The Manchurian Candidate
28.1,16.7,19000000,381109762.0,20.0584085263,0,8.0,6239.0,116.0,1985.0,0.5014,en,25.778509,Back to the Future,Back to the Future
60.0,66.7,11000000,119418501.0,10.8562273636,0,7.6,298.0,130.0,1991.0,0.9863,en,6.584254,Fried Green Tomatoes,Fried Green Tomatoes
2.7,0.0,12000000,89800000.0,7.4833333333,0,7.3,327.0,172.0,1970.0,0.0658,en,14.382289,Patton,Patton
66.7,0.0,8000000,553171.0,0.069146375,0,7.8,792.0,124.0,1988.0,0.5383,ja,10.888917,アキラ,Akira
28.6,0.0,16000000,5900000.0,0.36875,0,6.8,642.0,116.0,1986.0,0.1781,en,16.870392,Highlander,Highlander
3.8,0.0,3000000,16217773.0,5.4059243333,0,7.7,390.0,126.0,1967.0,0.4712,en,9.718713,Cool Hand Luke,Cool Hand Luke
16.0,16.0,2800000,86273333.0,30.8119046429,0,7.7,880.0,106.0,1974.0,0.9534,en,9.339316,Young Frankenstein,Young Frankenstein
8.6,0.0,2000000,11000000.0,5.5,0,8.1,756.0,125.0,1940.0,0.7869,en,9.241748,The Great Dictator,The Great Dictator
16.2,11.5,15000000,146900000.0,9.7933333333,0,7.5,660.0,212.0,1959.0,0.9836,en,14.319743,Ben-Hur,Ben-Hur
28.0,14.3,2500000,4736202.0,1.8944808,0,7.6,413.0,82.0,1984.0,0.3388,en,13.981499,This Is Spinal Tap,This Is Spinal Tap
12.9,10.3,48000000,474171806.0,9.8785792917,0,7.6,3221.0,127.0,1989.0,0.3918,en,14.788987,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade
10.2,5.0,22000000,77737889.0,3.5335404091,0,7.4,730.0,191.0,1982.0,0.9123,en,12.383755,Gandhi,Gandhi
26.7,0.0,17000000,10006806.0,0.5886356471,0,7.0,89.0,171.0,1988.0,0.0956,en,6.815147,The Unbearable Lightness of Being,The Unbearable Lightness of Being
58.8,16.7,3000000,20966644.0,6.9888813333,0,6.9,164.0,117.0,1985.0,0.9479,en,6.175166,A Room with a View,A Room with a View
27.3,11.1,12000000,22244207.0,1.8536839167,0,7.7,363.0,95.0,1982.0,0.5315,en,6.773407,Pink Floyd: The Wall,Pink Floyd: The Wall
