castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
33.3,80.0,0,0.0,-1.0,1,5.9,10.0,96.0,1995.0,0.3397,en,3.302524,When Night Is Falling,When Night Is Falling
13.3,25.9,6000000,23341568.0,3.8902613333,0,8.1,3334.0,106.0,1995.0,0.5452,en,16.302466,The Usual Suspects,The Usual Suspects
33.3,0.0,0,0.0,-1.0,0,6.3,3.0,93.0,1994.0,0.8904,en,0.595949,Guardian Angel,Guardian Angel
36.4,29.6,15000000,6700000.0,0.4466666667,0,6.7,145.0,95.0,1995.0,0.6986,en,15.899134,Mighty Aphrodite,Mighty Aphrodite
20.0,100.0,0,0.0,-1.0,1,5.2,41.0,100.0,1995.0,0.7425,en,5.982764,The Big Green,The Big Green
25.0,0.0,0,0.0,-1.0,0,6.1,15.0,115.0,1995.0,0.3781,en,4.093443,Georgia,Georgia
20.0,0.0,0,0.0,-1.0,0,3.0,1.0,89.0,1997.0,0.5151,en,0.307075,Kids of the Round Table,Kids of the Round Table
50.0,54.5,0,17519169.0,-1.0,1,6.3,39.0,103.0,1995.0,0.8356,en,8.416802,Home for the Holidays,Home for the Holidays
22.2,42.9,45000000,0.0,-1.0,0,5.9,136.0,96.0,1995.0,0.5315,en,10.673296,The Indian in the Cupboard,The Indian in the Cupboard
52.9,38.9,20000000,0.0,-1.0,0,5.8,65.0,101.0,1996.0,0.0301,en,4.733526,Eye for an Eye,Eye for an Eye
46.7,23.1,0,106269971.0,-1.0,0,6.9,115.0,137.0,1995.0,0.9918,en,7.137117,Mr. Holland's Opus,Mr. Holland's Opus
41.7,0.0,0,0.0,-1.0,0,6.2,192.0,89.0,1996.0,0.0301,en,11.700115,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
40.0,0.0,0,0.0,-1.0,0,4.5,14.0,96.0,1996.0,0.0301,en,2.174487,Two If by Sea,Two If by Sea
