directorGender,tmdbId
0,862
0,8844
0,15602
0,31357
0,11862
0,949
0,11860
0,45325
0,9091
0,710
0,9087
0,12110
0,21032
0,10858
0,1408
0,524
0,4584
4,5
0,9273
0,11517
0,8012
0,1710
0,9691
0,12665
0,451
0,16420
1,9263
0,17015
4,902
0,37557
0,9909
0,63
0,78802
0,9598
0,47018
0,687
0,139405
0,33689
1,9603
2,34615
0,31174
4,11443
0,35196
0,9312
0,577
1,11861
0,807
4,10530
1,8391
0,629
0,117164
0,11448
0,49133
1,26441
0,97406
0,124057
1,9089
0,11010
0,99040
0,11359
0,17182
0,2054
0,10607
0,19760
0,9536
0,11525
0,40628
1,4482
0,10634
0,755
0,11859
0,28387
0,48750
0,20927
0,36929
0,9102
2,124626
0,27526
0,9623
0,46785
0,400
2,880
0,146599
0,188588
2,8447
0,10534
2,17414
2,13997
0,2086
0,61548
2,9095
0,12158
0,9283
0,9208
0,40154
0,406
0,45549
0,63076
0,11062
0,13685
0,47475
0,2045
0,9614
0,688
1,11907
0,10874
2,89333
2,96357
0,197
0,103
0,33542
0,43566
0,71754
0,43612
2,51352
2,16934
0,10324
0,78406
0,55731
0,32119
0,11066
0,11104
2,37975
0,2074
0,27793
2,44284
2,290157
0,110972
1,32622
0,73067
2,11863
0,55475
2,124636
0,9101
2,123360
0,5757
0,39428
2,124639
0,9302
0,11000
2,249882
0,16388
0,9737
0,30765
0,10474
0,22279
0,30157
0,568
0,11780
0,34996
0,414
0,649
0,1873
4,5894
0,1775
2,8839
0,20649
0,10329
0,8963
2,26564
0,8068
2,8512
0,1572
0,13552
0,259209
0,6520
2,9073
0,10428
0,17447
0,9886
0,9482
0,19326
0,9344
0,9071
0,8973
0,15730
1,47608
0,2293
0,9070
0,68274
0,48787
0,34574
0,1642
0,11472
1,36196
0,11980
0,58372
0,32646
2,10533
3,56088
0,10802
4,10149
0,18402
0,9348
0,139408
1,281
2,5967
0,79593
1,47939
1,36834
1,9090
0,3512
1,52856
0,77350
0,9560
2,9804
2,31611
0,65796
0,49805
0,26258
0,50797
2,19155
0,76
1,11017
0,37141
2,9382
0,6715
0,18256
0,22625
0,2292
0,1909
0,8984
2,61813
0,4954
0,62488
0,10531
2,11929
4,8467
0,10451
0,20156
0,18395
0,522
0,397
0,10525
2,27985
4,15789
2,27303
0,21183
2,10954
2,47867
2,43475
0,72031
0,14275
0,1024
0,17207
0,13701
0,14819
0,32631
0,11777
2,628
0,87729
2,18713
0,6280
2,9061
0,37108
0,6071
0,11
1,9587
0,19101
0,49980
2,17961
0,18183
0,4476
0,11008
0,47504
1,32325
0,43742
0,28313
0,11318
0,3036
