noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId
3,4,6,1,0,7,45964
21,2,14,2,3,7,32014
1,2,6,0,1,1,13408
21,11,26,105,8,21,671
0,2,4,3,0,0,17731
20,4,13,7,7,7,20794
0,2,8,1,0,5,11469
0,3,8,0,1,4,14369
1,2,11,17,4,11,1535
7,2,4,3,1,8,1433
3,4,4,5,1,6,1999
6,0,2,4,0,2,58098
2,2,5,6,0,6,78076
4,1,5,6,0,5,87774
1,1,5,4,1,5,23847
3,1,3,5,0,4,50785
1,1,4,2,2,4,12472
5,0,1,2,0,1,42258
14,3,20,3,1,8,11834
3,4,4,3,0,2,16085
5,5,8,4,0,7,27405
19,1,11,5,1,3,269
4,4,7,1,0,2,16441
1,0,18,0,0,7,11422
1,1,3,1,0,2,31037
0,5,7,3,1,3,40739
0,1,7,3,0,4,10656
3,10,11,3,0,9,32847
7,8,4,3,2,9,39938
2,0,12,3,0,9,38766
1,0,11,1,0,4,43510
4,0,15,7,1,10,35284
2,6,10,0,0,2,14584
11,2,6,10,0,1,58886
6,2,1,6,0,6,72277
14,6,6,24,0,7,5781
1,1,5,0,1,2,23805
4,1,9,4,0,4,34388
9,1,0,15,1,1,39867
6,4,4,9,1,9,11033
1,2,5,9,0,6,69716
8,1,8,16,0,6,37835
3,0,3,0,0,2,33356
2,4,7,3,0,7,3537
1,4,5,4,7,6,38922
9,0,3,2,2,2,27145
4,0,10,24,0,13,8738
0,2,7,4,0,5,28614
2,4,13,3,0,11,3604
10,2,7,17,0,3,6974
8,1,4,8,0,7,26398
6,4,5,4,1,10,42218
4,2,9,1,0,5,10649
7,2,11,4,0,6,42566
4,3,4,7,1,12,17689
1,0,5,5,0,5,34084
13,1,8,22,1,11,15983
9,3,11,31,2,8,14854
18,0,9,2,0,9,10847
5,1,4,1,0,2,33525
3,2,9,5,0,8,27591
0,4,18,6,0,5,299
0,2,5,3,2,8,31945
9,3,6,2,0,4,42160
2,5,10,1,1,12,10650
6,0,13,33,2,17,8007
1,3,5,4,4,13,19076
1,10,17,0,0,1,81442
29,10,22,5,0,5,50562
4,2,10,1,0,3,13503
4,2,17,96,9,16,161
13,0,1,11,0,5,43774
0,2,3,0,0,2,31064
3,2,5,6,1,8,31682
2,1,5,9,2,5,8342
0,1,3,1,0,2,55479
1,3,7,1,1,4,4886
7,1,8,6,0,6,228
24,5,10,5,1,7,23111
1,2,4,3,0,1,42597
35,7,13,72,3,5,194
29,41,26,4,8,17,11397
0,6,8,0,7,8,1903
1,5,7,3,3,7,11889
10,0,0,16,0,0,28171
1,5,6,9,2,7,9523
0,2,12,11,3,21,9428
9,4,20,0,0,13,1649
6,3,7,3,1,4,11938
11,2,6,6,0,6,43143
2,2,5,0,0,1,35201
0,2,4,9,1,5,42724
1,2,5,0,0,5,24264
2,3,5,8,0,9,27150
1,2,5,6,1,9,26978
2,1,5,11,1,8,19209
1,2,7,46,6,18,8386
5,6,12,6,1,11,12589
2,5,8,19,4,17,12312
2,4,10,6,6,11,11232
3,3,20,5,6,19,120
2,3,12,14,2,12,11086
18,5,15,33,10,17,453
15,1,3,6,0,3,18939
2,6,7,5,1,5,12724
1,1,10,3,0,10,11414
0,5,4,4,0,6,31507
1,2,4,0,0,3,42612
2,0,11,0,1,11,18783
2,1,1,43,0,8,12593
2,0,2,9,0,6,14683
9,4,11,1,0,11,10794
1,8,4,2,1,8,43136
4,1,4,11,0,0,45491
1,1,5,5,1,2,5052
19,9,21,14,2,13,37257
2,13,41,13,5,14,8489
0,1,33,122,5,29,855
2,3,13,11,4,11,12660
2,2,3,6,0,3,10269
3,11,16,1,7,13,5279
12,15,11,17,11,14,10950
7,1,10,10,1,10,1365
0,5,7,10,4,10,6440
12,8,29,5,1,10,14580
3,5,16,1,0,1,49410
1,7,3,0,2,5,28296
0,1,3,1,0,1,24206
0,6,8,19,2,13,6037
3,5,5,1,0,5,42987
10,9,9,2,4,6,61418
6,2,2,12,2,3,27099
2,10,13,1,1,5,11857
6,3,12,37,1,7,6312
1,1,13,0,0,7,11595
3,3,4,5,0,3,24166
0,2,3,2,1,6,26337
1,1,3,1,0,1,59066
4,5,7,0,0,2,77985
1,4,2,5,0,9,77074
0,3,16,1,1,7,10170
1,3,5,13,1,4,18317
1,4,5,3,0,5,98491
1,5,5,1,0,1,26686
4,2,15,7,0,9,61934
3,1,7,6,0,5,27273
3,1,11,6,1,10,848
1,3,7,43,3,18,9610
9,1,4,8,0,6,15035
5,2,3,3,0,5,16127
3,2,10,0,0,3,31603
1,4,2,1,0,4,32020
3,4,6,0,0,2,33155
0,3,8,4,3,12,4965
2,1,4,54,1,11,11891
1,2,6,2,0,8,11888
16,13,26,0,1,14,150
5,3,3,1,0,3,35263
10,4,4,4,2,2,112
7,0,2,6,1,5,125717
4,2,6,0,0,3,20678
2,3,4,2,0,2,15050
13,9,24,6,10,12,10423
24,0,9,18,0,5,11710
3,7,16,6,1,8,17691
17,0,3,17,0,5,27378
2,0,1,2,0,6,57976
10,2,13,7,0,8,651
1,4,6,1,3,6,31955
2,4,10,6,0,11,20620
2,2,11,5,0,7,18647
0,1,9,2,0,4,11362
20,4,9,3,6,10,2637
11,12,8,3,3,8,10229
4,5,1,0,1,1,50819
10,2,0,8,0,3,12659
0,0,0,1,0,0,41870
2,2,2,8,0,4,35650
26,1,11,5,0,3,9606
8,2,5,9,0,5,11447
2,7,12,0,0,3,16550
0,1,4,0,0,1,13915
0,2,5,15,2,13,34723
0,24,36,0,1,6,31674
1,4,6,0,0,3,52744
1,4,7,2,1,3,43340
1,5,6,1,1,1,20009
4,3,13,13,3,10,2084
3,2,4,6,1,3,50225
2,1,1,0,0,1,74692
7,7,3,1,1,5,39775
1,4,3,6,0,9,51044
2,3,7,5,1,5,29475
3,3,4,5,0,5,4267
11,7,6,0,0,3,4031
0,5,8,0,0,1,47871
3,2,6,3,0,5,11594
1,1,6,5,0,6,19562
3,7,9,1,0,6,11870
1,3,17,103,4,44,9884
68,6,26,4,3,8,11535
0,2,5,8,2,6,27593
0,3,5,0,0,8,11212
2,3,4,2,0,2,29887
4,1,6,0,0,1,32484
3,6,8,1,0,2,28345
35,19,8,4,0,7,69928
0,0,2,4,0,4,21921
3,1,10,0,0,2,21845
4,2,12,4,2,10,11528
6,4,5,1,1,7,2441
4,4,6,9,2,6,931
19,6,7,104,9,16,17130
4,0,16,1,5,14,10592
3,3,9,93,7,18,8470
4,2,6,9,0,0,16690
3,2,11,0,0,6,39939
7,3,5,3,0,7,9272
3,3,9,0,0,1,14778
12,1,16,0,0,1,19137
2,13,11,3,0,4,32499
15,3,15,2,0,7,8737
0,2,8,0,0,3,33668
2,2,3,14,3,8,39282
6,5,4,7,2,8,40687
3,3,1,0,0,3,37230
4,0,2,6,0,8,993
14,1,0,16,0,4,11698
4,2,1,1,0,7,41357
1,2,5,2,1,10,42458
9,2,7,4,0,3,93427
2,1,12,4,0,8,14475
6,0,8,12,0,4,43715
2,11,10,42,6,19,10052
2,4,6,2,1,11,11979
1,4,3,0,3,2,75151
0,0,3,0,0,1,35868
2,9,7,10,4,12,13791
0,1,2,2,0,0,27824
1,2,2,4,0,1,270306
7,1,16,13,0,7,9991
8,2,4,9,6,4,480
0,1,2,0,0,1,44340
0,0,0,0,0,1,18984
0,1,5,0,0,5,25006
3,2,12,0,0,2,23479
2,0,8,0,0,3,66946
3,0,12,1,0,6,19050
11,0,1,7,0,7,38442
5,2,14,3,0,4,108266
7,3,6,3,0,1,108267
11,0,2,0,0,4,39387
14,4,10,6,0,3,15999
22,5,4,13,1,5,614
0,0,10,9,0,2,56133
1,2,11,0,0,6,121703
7,5,4,5,1,2,77955
1,6,5,3,3,6,2752
15,4,35,100,4,28,10590
4,3,4,3,3,0,40723
5,5,4,3,0,5,29039
5,4,1,2,0,5,22910
1,6,1,2,0,5,42517
16,1,7,27,0,10,40364
1,4,5,0,0,1,115332
4,4,12,15,2,5,13225
12,0,2,8,0,2,21380
0,23,28,0,1,13,46717
4,8,10,4,0,7,63510
4,1,5,5,0,2,20465
1,2,3,6,1,12,35614
6,2,3,9,1,5,7219
1,0,3,6,0,5,35810
2,2,16,5,1,9,18649
3,4,5,0,0,4,18646
20,8,30,10,0,8,17058
0,2,5,0,0,1,13950
4,8,15,6,2,11,2135
1,5,11,8,7,6,15186
4,3,5,5,0,4,43997
19,4,7,0,0,1,31651
6,3,9,0,0,2,47869
2,3,4,3,0,15,965
0,4,1,19,0,2,33135
1,4,3,2,0,4,10889
16,3,9,5,0,3,16149
1,1,13,10,0,7,54287
13,4,18,0,0,2,25628
1,4,8,1,0,1,65262
2,4,17,1,2,9,10935
0,1,4,1,0,1,44004
5,6,4,2,1,3,22288
7,4,12,3,0,2,32030
0,6,9,2,2,9,119617
7,4,7,4,2,8,29343
11,6,12,7,2,10,39503
4,3,8,0,0,9,7988
6,2,12,7,0,5,15310
7,0,5,13,0,2,17909
3,1,3,6,0,6,22130
3,1,11,2,0,1,26843
3,4,3,3,0,3,27458
16,2,26,8,0,3,14807
0,2,13,14,2,14,14729
1,0,5,0,0,4,46973
6,3,3,4,1,5,8690
3,3,3,0,0,2,39543
1,2,12,13,0,5,39578
1,2,7,4,1,6,3418
4,4,5,3,0,8,30924
5,1,2,1,0,2,14929
2,0,11,4,1,6,75552
1,0,13,13,0,9,18910
9,1,0,4,0,0,24919
2,4,5,6,0,4,26200
8,3,12,5,2,4,24825
3,7,5,6,0,2,38147
3,2,11,3,1,6,24032
2,1,2,1,0,1,26179
7,3,2,13,0,2,4499
2,1,4,8,0,1,11333
2,4,12,41,1,16,425
6,5,11,72,4,27,1576
0,2,5,5,2,13,5851
1,3,6,9,3,4,25014
2,3,4,12,6,3,15647
4,0,0,3,0,0,25110
3,0,0,12,6,5,38880
10,5,5,4,1,10,1391
7,1,8,4,2,6,18172
2,3,6,2,0,0,24248
8,6,19,6,1,4,14605
1,6,2,1,0,1,19797
4,2,10,0,0,4,17804
0,2,5,2,2,6,31805
25,7,24,4,1,8,13861
1,2,6,4,1,6,29021
3,4,4,3,2,9,31812
7,2,13,12,3,3,13006
6,1,0,2,1,3,28213
5,0,11,6,1,7,10627
7,1,5,0,0,2,42750
3,0,4,4,0,0,27930
10,1,8,12,1,3,259557
1,2,10,7,2,8,28124
4,8,5,4,0,2,41034
6,1,5,3,0,3,11563
4,2,5,2,0,2,15119
0,1,6,0,0,2,55792
1,1,10,4,0,6,12705
7,1,6,3,0,9,11006
1,1,5,1,0,1,15120
13,0,4,5,0,2,40072
4,3,9,8,0,6,21629
15,0,1,6,0,1,16026
5,3,8,9,0,5,2371
4,2,0,2,0,1,73134
31,2,15,127,6,34,36586
0,4,5,0,0,8,6020
2,3,5,4,2,4,39541
0,2,2,1,0,0,125764
11,1,2,7,1,8,18292
3,3,4,1,1,8,29394
3,0,0,1,0,0,112942
0,1,6,3,0,3,90974
1,3,4,3,0,4,29402
3,3,4,2,1,7,29396
2,3,7,40,11,11,15028
0,2,8,0,2,7,9275
5,4,7,37,4,26,4547
0,2,7,0,0,2,14635
1,3,3,0,0,2,29135
7,4,4,2,0,5,1791
0,4,17,0,0,2,184835
0,2,1,1,0,0,41756
5,1,1,17,6,5,35651
1,2,4,4,6,4,62956
3,0,1,1,0,0,116904
1,1,5,7,0,6,22784
2,2,5,5,2,7,40814
2,2,11,4,1,6,53426
2,6,8,0,2,1,24585
1,4,6,0,1,1,17990
2,1,1,1,0,1,129542
3,2,8,1,1,5,5678
14,7,15,2,4,8,11560
2,3,8,0,0,10,11452
1,4,4,0,1,0,18435
7,2,12,0,0,3,35944
2,4,4,1,0,2,64310
4,2,7,0,0,10,25501
0,0,0,2,0,1,26851
0,4,10,7,0,6,17487
7,2,5,6,0,4,34276
2,1,5,11,0,9,548
4,4,11,1,3,6,11590
1,4,6,2,1,5,1537
4,2,7,1,1,10,12149
0,4,2,1,1,0,44373
0,5,7,32,10,15,11812
0,3,3,5,0,3,35080
1,5,4,1,3,11,441
3,7,6,2,2,5,8346
8,2,17,6,1,21,14168
0,3,9,2,0,6,32617
1,2,11,4,1,8,31671
0,4,9,4,3,10,2565
13,2,2,12,0,11,307
5,2,9,6,0,10,15482
4,4,10,23,2,4,45878
1,5,14,4,2,9,6393
0,3,5,1,1,8,12154
2,4,5,1,1,7,11630
0,2,5,2,0,0,25133
2,6,5,0,0,2,21970
7,5,14,16,3,11,11892
3,2,13,2,4,16,9334
8,1,7,12,0,5,36093
0,4,5,0,1,1,35694
5,3,14,48,3,11,10491
5,1,0,2,0,1,70054
0,1,3,1,0,0,18323
8,1,8,13,0,3,18079
0,0,1,0,0,0,110989
0,3,3,8,5,5,35337
0,3,3,0,0,1,59199
1,4,6,2,0,7,11470
0,5,7,2,4,5,16643
2,0,7,1,0,6,1282
2,4,9,0,1,0,21220
5,0,1,3,1,5,52717
6,2,2,2,2,1,69324
9,5,22,50,2,22,11468
0,2,3,1,0,0,292917
1,0,7,0,0,2,19085
0,3,4,2,0,1,73462
6,1,4,6,0,5,26030
0,8,4,2,0,5,10164
10,2,4,8,0,4,42048
12,3,14,3,1,3,62001
4,3,9,11,4,8,28117
0,2,6,2,1,2,40555
2,6,5,1,3,9,28384
2,5,3,4,0,4,46691
15,7,10,10,3,15,27094
3,5,6,5,1,8,26725
2,5,9,0,0,2,17168
5,4,6,4,1,10,48482
0,0,4,0,0,1,56179
3,2,4,8,1,5,5203
1,3,12,0,0,3,13201
3,7,13,0,2,5,9689
25,14,32,88,7,31,557
0,0,0,2,0,1,69850
3,2,7,7,0,2,44768
0,3,10,0,0,8,1815
0,2,3,5,0,5,55106
4,4,4,6,0,6,28289
4,4,9,8,1,8,32037
2,4,5,6,0,5,39154
0,0,7,2,0,2,24767
0,1,6,0,0,5,33796
8,3,8,2,1,1,32221
10,5,11,1,0,2,28466
5,2,5,4,5,9,12227
1,1,3,0,0,2,43643
0,4,15,2,5,16,10985
0,5,7,7,5,14,2251
9,0,2,11,1,4,2894
2,5,12,3,2,6,20712
15,3,13,7,3,8,11240
7,2,2,3,0,0,46592
1,5,8,2,0,2,45186
0,3,3,1,0,2,86483
9,1,0,13,0,2,5425
2,3,3,3,1,5,14117
17,0,3,11,0,2,38360
1,2,3,4,0,5,29318
1,7,3,2,0,5,28907
2,4,10,0,0,2,39771
6,19,8,2,2,13,245
13,7,22,5,2,13,1894
17,5,11,10,2,8,4012
1,5,5,1,1,6,9026
28,6,19,3,0,5,42193
1,3,3,0,0,2,15417
6,1,8,10,0,11,11791
10,4,14,2,0,7,28577
13,3,14,6,1,10,13963
7,1,7,2,1,8,23102
10,4,11,41,4,19,1957
4,9,12,21,3,16,320
2,1,12,16,3,6,9023
1,3,9,0,0,2,27834
3,2,5,1,2,0,17734
0,4,5,8,0,17,24010
2,2,11,0,0,7,39435
6,8,17,0,1,2,24005
2,2,10,0,0,6,44800
0,2,11,1,0,2,24014
1,4,7,3,0,10,24008
3,2,8,0,0,3,53229
1,1,8,3,0,8,1936
1,3,17,111,6,18,4614
2,2,7,3,1,9,12277
2,0,2,7,0,1,267345
0,3,4,11,5,3,112991
0,6,4,3,0,2,15677
9,5,16,5,1,11,58455
1,0,6,0,0,2,36554
1,3,4,0,2,1,48216
3,1,2,4,0,1,41165
0,1,8,12,4,8,13153
0,2,5,2,0,9,811
0,2,2,3,0,3,43532
3,2,8,2,0,7,163907
5,0,3,7,0,3,7216
4,3,10,7,2,15,3132
0,10,4,4,7,10,9583
5,3,8,0,0,2,18408
13,0,2,4,0,2,13245
29,2,20,118,2,27,2501
2,4,5,92,5,21,9637
0,1,9,13,4,18,12100
1,3,3,1,0,3,16857
0,1,3,0,0,2,52258
4,1,11,10,3,5,10394
2,4,6,3,4,3,27451
12,3,7,37,0,6,15813
3,1,10,5,2,8,31591
6,2,11,3,0,10,18905
0,3,3,1,1,3,14774
2,2,10,4,1,4,4993
7,0,0,4,0,0,27052
2,5,8,3,0,4,34130
5,2,6,4,1,9,38950
21,4,13,1,0,1,17898
2,3,7,1,3,10,21635
0,3,7,2,0,12,27945
2,2,5,6,1,8,43139
0,2,6,2,2,7,30194
2,2,17,2,0,6,10169
0,7,13,9,2,10,27225
5,2,17,2,0,2,13909
1,0,3,0,0,4,103299
0,2,3,0,0,1,41805
4,6,6,1,0,1,35696
0,5,6,17,2,14,11544
0,8,15,109,9,38,180
4,5,2,5,5,11,9555
4,3,10,0,0,1,57022
1,3,4,5,0,3,17710
1,2,10,1,1,10,2022
4,6,6,0,2,0,50035
0,10,8,0,4,8,9719
1,5,4,0,3,7,11982
3,2,3,0,1,2,27224
1,1,8,3,1,6,12251
4,4,9,0,0,1,88818
12,2,26,14,0,13,30114
5,5,5,0,0,1,70489
5,2,6,3,2,14,21972
5,2,16,114,7,26,608
1,5,2,15,0,2,59387
3,6,4,6,4,3,26290
5,2,7,3,1,8,17043
5,2,8,92,4,26,6278
8,5,19,84,9,24,4147
10,3,2,0,0,2,16664
1,4,3,0,0,2,14651
4,4,5,4,2,4,96238
4,2,10,5,1,7,15096
0,3,4,0,0,3,19731
2,3,5,10,2,9,20324
2,4,1,5,1,11,49370
5,1,5,1,0,3,14902
3,8,12,2,0,6,42254
4,0,1,2,0,7,1842
15,3,13,14,1,8,2721
11,7,12,1,0,5,11442
4,3,2,6,1,5,1364
9,4,10,79,7,22,8869
6,0,23,3,2,10,8665
1,6,7,3,1,6,10996
46,36,32,101,14,29,818
10,5,17,45,11,24,18357
0,4,6,0,1,1,29047
7,0,0,3,0,1,45861
10,15,6,3,5,6,39141
1,1,4,2,0,0,33152
0,3,7,0,0,1,149445
2,5,5,3,1,7,10309
19,1,4,10,0,9,6404
3,4,13,5,2,7,19133
2,4,6,1,0,3,43199
1,3,7,0,0,3,43915
19,13,12,18,0,21,24130
14,0,0,13,0,4,43445
11,3,12,2,0,2,36645
4,1,2,8,0,2,5155
1,6,8,1,0,6,23728
44,4,10,15,0,8,3780
1,1,6,3,0,5,10786
4,1,9,0,1,16,8764
2,6,8,0,0,3,13908
2,5,8,61,5,22,2675
10,6,7,3,0,3,12308
10,5,13,39,3,22,9488
4,9,7,2,5,12,9962
2,6,10,15,3,15,9573
5,2,13,103,11,25,7451
23,3,25,1,0,4,2750
2,0,2,0,0,1,30586
1,1,3,1,0,0,61112
2,1,2,0,0,1,92384
5,0,0,3,0,0,43772
0,0,1,6,1,3,20337
7,0,1,6,0,1,27062
15,0,0,7,0,5,34070
8,2,6,2,1,5,6173
1,3,3,2,2,3,10305
6,4,6,4,0,7,42337
1,2,4,0,0,3,18694
20,1,7,0,0,1,74578
0,2,6,2,0,4,10081
2,3,9,1,1,6,11484
1,5,8,2,0,7,11692
7,5,3,5,6,7,9266
6,1,2,6,2,1,3640
4,0,2,5,0,5,8653
1,11,8,2,2,5,30072
4,4,16,23,5,11,9357
0,2,5,1,0,9,12771
27,22,25,12,5,11,9296
3,2,16,0,1,2,15070
0,4,2,8,5,1,26942
0,2,4,1,0,2,206042
6,1,3,1,0,0,26895
4,3,4,0,1,0,60608
0,0,0,1,0,0,146231
6,1,1,15,2,2,97447
3,5,1,6,4,10,11243
4,2,1,1,0,0,19975
1,10,8,1,0,8,10323
4,3,10,2,3,9,9595
9,3,7,7,0,1,28319
3,3,14,3,0,7,46878
8,3,8,10,1,16,24750
6,2,5,11,1,0,31393
2,4,9,0,1,3,24038
0,2,4,2,1,2,79783
2,2,3,2,0,5,9941
0,2,5,14,0,6,18639
2,2,10,9,0,8,39833
4,2,4,6,0,3,32858
2,1,7,4,0,9,3127
0,2,8,1,0,5,10859
0,3,4,1,0,2,32825
3,2,12,8,1,8,10725
8,3,9,46,3,14,9544
1,9,4,0,1,1,23967
1,2,2,2,0,2,57351
9,3,3,1,0,3,26165
5,0,1,8,0,6,31514
1,2,6,1,0,1,13571
7,1,8,3,0,0,26056
0,5,3,0,0,2,13536
18,5,9,87,6,17,20616
1,2,0,1,0,0,96218
11,2,5,2,0,1,79319
2,4,10,3,4,7,16806
0,5,10,0,4,12,15516
14,1,5,12,2,8,9299
0,0,0,0,0,1,113369
2,1,9,1,0,11,10611
1,2,7,0,2,8,12770
8,1,5,12,0,12,4108
7,4,7,4,1,3,55903
5,5,5,3,3,3,46466
4,5,6,6,2,5,9685
2,0,1,7,0,1,87481
0,2,2,1,0,0,16370
1,4,8,0,0,1,18913
6,3,8,4,1,4,14361
7,2,6,2,0,7,41021
2,1,5,2,0,0,18943
4,2,2,4,0,0,32685
0,1,3,0,0,2,64079
3,1,4,1,0,2,18477
4,2,7,2,0,6,12262
0,4,6,0,0,2,33506
15,3,14,3,0,5,29515
2,5,7,9,3,10,41582
1,2,9,0,0,1,50382
2,6,5,0,0,9,42633
3,1,5,7,0,3,26680
0,1,3,0,0,2,34086
3,3,11,4,1,4,11504
1,1,7,0,0,3,23470
4,1,0,7,0,5,977
5,4,10,3,0,7,233
3,3,6,4,0,9,19049
10,3,17,23,1,11,5506
11,2,16,9,0,10,32961
2,2,8,1,0,3,32568
27,0,6,6,8,2,29698
9,3,3,12,0,3,22244
13,2,6,12,1,9,19460
14,2,15,30,1,8,575
0,2,3,5,1,9,10550
0,4,4,1,1,6,9034
28,5,16,3,1,11,9093
4,5,6,4,0,11,9039
1,7,1,1,0,2,1958
10,5,3,1,0,2,23550
2,0,8,0,0,4,68569
0,2,4,2,0,0,318535
1,4,4,2,3,5,11013
8,2,5,19,0,6,129
0,0,0,0,0,1,54714
1,10,5,14,7,14,11529
1,4,10,17,4,15,10771
5,1,2,0,0,0,38951
1,1,7,0,0,1,55018
0,4,2,8,1,3,44635
6,3,7,7,5,4,31005
0,0,1,1,0,0,72308
9,1,7,8,0,5,50123
17,5,7,7,0,4,2110
11,2,2,0,0,4,15173
1,1,13,0,1,8,9533
0,4,6,0,0,2,38866
18,1,6,0,0,3,4107
4,2,5,2,2,7,10575
0,1,1,1,0,0,47500
0,3,3,0,0,1,15720
1,3,6,2,2,11,9260
6,3,8,7,1,6,21828
26,0,5,6,0,4,1682
13,0,4,6,0,3,39462
1,1,5,6,0,2,18983
1,2,4,0,0,8,41971
2,4,14,4,0,6,33831
0,0,0,7,0,4,24348
2,2,6,1,0,14,19140
0,4,4,0,0,3,82545
2,6,6,5,1,8,37606
1,1,3,1,0,0,34600
0,0,2,1,0,0,39128
11,5,9,3,0,13,11868
2,1,5,0,0,4,12921
1,2,6,2,0,3,19953
13,0,0,1,2,0,53049
6,0,3,7,0,5,10772
6,1,4,10,0,0,77079
1,3,3,6,0,9,74899
0,2,3,0,0,1,120694
1,1,5,4,0,4,12719
1,2,6,11,0,9,25001
3,1,4,1,0,4,43438
9,4,8,7,0,2,3092
3,1,7,3,0,5,4989
4,1,3,0,0,1,15313
1,1,10,31,5,18,12590
9,3,10,1,0,1,37964
9,3,20,0,0,5,7501
2,6,11,1,0,2,1809
0,3,5,0,0,1,13768
7,17,11,4,4,8,10994
11,0,10,14,1,8,1430
33,0,25,1,0,0,19973
2,1,4,1,0,2,40815
0,4,0,14,0,3,12600
16,2,7,3,3,9,8051
8,4,8,6,1,5,70443
0,3,3,6,2,8,12779
0,2,4,3,2,1,146269
0,5,9,0,0,3,15992
3,2,21,10,2,9,1613
0,9,6,99,10,22,565
4,7,12,4,1,1,14112
0,0,0,1,0,0,41324
0,2,4,1,0,2,15192
0,5,6,0,0,1,49872
0,0,0,4,0,5,21925
2,4,1,1,0,0,30309
4,0,3,26,1,1,16646
3,2,1,6,0,0,37288
1,2,2,4,0,0,20861
0,1,5,1,1,8,12647
4,0,0,11,0,6,12477
0,4,8,8,0,7,10285
2,3,6,0,0,14,19403
6,5,8,2,0,8,11009
7,5,4,3,0,10,10805
3,2,7,9,1,3,40064
4,6,5,1,0,2,17496
13,5,5,7,1,5,40969
2,4,6,4,1,4,76411
48,2,19,5,0,7,5917
4,1,4,1,0,1,31278
4,3,6,2,2,7,33670
0,5,12,3,0,7,47942
3,2,9,1,0,3,33076
2,2,9,9,0,6,44932
13,5,1,7,1,7,15668
5,7,10,1,0,2,30709
1,2,7,9,0,13,19429
4,2,3,6,0,5,140413
1,3,11,3,0,1,21294
4,2,12,5,0,5,11340
5,4,0,7,4,4,42142
4,3,10,2,0,6,11644
4,2,4,0,0,4,33721
1,1,5,7,1,5,36133
9,3,5,14,1,11,24124
0,3,6,3,0,3,34697
2,2,4,6,1,2,8691
1,1,6,1,0,4,53922
0,4,6,3,0,1,66592
9,0,4,7,0,2,6399
3,1,10,8,2,5,25773
4,1,5,0,0,2,19123
6,2,8,6,2,11,26560
0,1,4,0,0,3,36220
9,2,4,14,0,3,225
4,11,14,27,4,14,24274
4,5,7,10,1,3,33016
4,1,11,4,0,7,26444
1,5,7,19,2,9,19114
4,1,12,7,0,5,17205
1,5,9,23,0,13,24740
5,3,5,3,1,9,10863
2,4,5,3,0,3,31679
1,0,0,7,0,0,15900
5,0,1,8,0,0,12237
1,0,0,8,0,0,15901
2,0,0,6,0,1,15902
1,0,0,1,0,0,15904
0,0,0,2,0,0,97251
2,1,4,7,2,1,12579
1,2,3,5,0,4,85058
2,3,10,0,0,2,23668
5,2,2,6,1,6,70971
1,3,3,4,0,6,25113
1,4,6,25,0,14,28893
5,1,7,6,2,8,11646
4,1,5,3,1,6,5062
3,3,4,4,0,8,24634
0,2,2,0,0,2,75963
1,1,3,0,0,3,16124
5,1,8,5,1,4,21764
9,0,9,4,0,0,22435
1,5,4,5,0,9,42149
8,6,9,30,0,4,37936
0,4,7,8,1,5,73247
0,0,0,0,0,0,38255
7,3,6,7,0,2,46364
2,8,8,3,2,2,27016
4,4,2,5,0,8,35685
4,2,8,0,0,3,38665
4,7,9,3,1,9,265
3,4,6,12,1,5,2264
6,13,5,0,0,2,21874
0,0,1,0,0,3,41394
13,1,1,9,0,2,47957
5,1,2,1,0,1,31407
2,3,6,1,0,7,16471
3,2,6,4,0,7,63443
7,1,1,3,0,4,22171
5,4,6,13,1,5,39874
1,0,3,2,1,3,25468
3,1,3,0,0,3,19507
5,0,1,3,0,0,29072
0,2,3,0,0,1,75596
2,3,6,0,1,3,42146
0,2,8,12,0,6,17450
4,8,7,6,0,5,47886
10,2,4,26,0,5,31646
5,1,3,0,0,2,14269
2,2,5,12,1,2,41280
16,1,8,9,0,4,1672
0,0,1,0,1,1,35935
2,3,6,80,5,20,9645
4,2,26,5,0,10,9012
0,1,7,11,1,10,13098
1,2,5,5,3,7,13440
6,11,12,4,5,6,12454
2,1,6,0,0,2,31668
1,2,4,1,0,3,41645
3,5,6,9,10,8,1360
0,4,3,0,0,2,13441
0,1,5,0,0,2,45767
1,0,3,4,4,3,14626
2,4,8,0,0,6,48155
2,16,27,11,2,17,12208
1,2,3,4,0,5,11905
9,0,2,0,0,1,39497
1,3,13,6,0,9,1941
3,4,10,1,0,5,26685
1,2,12,6,0,12,31918
1,7,4,3,3,8,19662
1,3,5,1,2,7,8427
0,5,8,16,4,17,9021
0,0,0,1,0,0,277415
12,0,1,1,0,0,28988
0,4,5,0,0,1,52735
9,6,7,4,4,5,13526
6,4,9,7,3,10,9280
8,3,8,67,6,19,65
0,0,0,0,0,2,117520
0,5,5,4,1,9,10712
3,3,4,2,0,1,27204
3,6,5,0,0,3,152023
1,4,11,7,0,13,10167
20,11,30,113,6,22,672
4,2,7,0,0,2,16351
6,3,6,13,3,1,542
3,1,2,0,0,1,36584
5,2,11,1,0,4,30192
4,0,1,2,0,0,33251
19,2,9,4,1,4,25466
2,1,5,0,0,2,50677
2,1,4,5,5,3,2165
2,2,7,2,0,9,25037
0,1,8,2,0,7,11617
0,1,6,1,1,3,24909
1,4,4,2,0,1,81530
0,6,6,0,0,1,34341
1,2,5,3,0,8,18993
1,2,4,0,0,1,53000
9,4,8,1,0,2,29229
3,1,8,25,1,13,11880
