noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId
20,3,4,5,4,3,76
3,3,11,12,5,13,11017
1,2,5,1,0,2,37141
0,3,3,3,0,7,9382
0,2,5,3,0,4,6715
7,2,3,14,0,13,18256
2,2,6,19,3,11,22625
8,0,7,1,0,6,2292
1,7,5,3,1,8,1909
0,6,6,0,0,6,8984
0,2,6,1,0,1,61813
0,1,7,5,1,12,4954
0,1,4,0,0,3,62488
8,2,2,12,6,7,10531
1,3,5,6,1,10,11929
10,28,42,37,15,33,8467
12,2,1,5,0,5,10451
0,3,11,0,0,2,20156
8,12,9,4,7,6,18395
19,10,39,34,4,14,522
1,3,4,0,1,6,397
17,6,9,0,0,9,10525
7,3,5,2,0,0,27985
0,4,11,10,0,13,15789
2,2,3,2,0,2,27303
2,3,10,5,4,8,21183
2,2,1,2,1,2,10954
0,0,2,1,0,0,47867
0,0,0,1,0,0,43475
0,4,18,11,1,6,72031
0,0,3,0,0,3,14275
4,6,4,2,1,7,1024
0,2,6,0,0,1,17207
2,5,10,0,0,5,13701
0,1,11,0,0,3,14819
2,3,4,0,0,2,32631
0,1,10,0,2,8,11777
2,6,7,5,5,8,628
2,5,7,1,1,2,87729
1,1,7,1,0,0,18713
41,12,13,1,2,6,6280
20,27,13,7,8,16,9061
0,2,4,0,0,1,37108
0,2,8,3,0,4,6071
56,3,47,2,3,15,11
0,6,4,19,8,5,9587
1,7,1,28,3,15,19101
24,1,3,0,1,2,49980
3,3,3,3,0,2,17961
5,6,4,27,4,4,18183
9,4,12,1,4,12,4476
11,1,10,2,0,7,11008
0,2,5,6,3,9,47504
2,2,4,1,4,3,32325
2,7,10,13,4,14,43742
1,5,4,3,2,2,28313
4,4,13,0,0,6,11318
4,4,12,3,2,10,3036
3,1,11,1,0,5,40490
0,6,8,4,4,10,24070
0,2,7,1,2,6,8986
0,4,5,1,0,8,10510
1,2,3,0,0,2,17402
3,3,4,0,0,3,38722
0,3,6,1,0,4,8438
12,7,14,6,3,10,11593
16,2,8,4,3,8,1945
1,1,6,1,0,4,39310
4,1,9,2,0,1,109560
0,2,4,1,0,3,56428
5,3,2,1,0,2,63105
0,2,3,0,0,2,131957
13,8,26,3,3,14,241
0,3,5,2,1,4,9058
7,2,7,10,0,3,527
3,3,2,1,1,0,18220
0,2,12,0,2,11,6950
9,4,26,9,2,8,101
0,3,4,5,6,8,63020
0,3,6,4,3,7,2307
13,16,25,54,11,22,680
0,3,10,1,0,2,41478
9,0,0,1,0,3,25296
7,6,10,6,2,3,40156
3,5,22,10,2,12,11450
3,2,2,49,5,4,30304
15,7,12,4,1,9,10452
0,3,13,2,0,8,12106
0,2,4,0,0,1,161495
13,17,17,3,4,7,3586
3,3,4,2,0,8,110
4,5,2,1,1,9,108
2,2,6,5,2,5,109
2,0,0,4,0,1,159185
2,0,3,0,0,2,36357
1,3,6,0,0,2,92769
0,4,5,1,0,3,28033
3,2,8,58,2,15,22586
4,0,3,6,3,9,14334
6,2,4,5,3,6,2636
3,2,10,13,2,15,2164
2,3,6,0,0,8,11395
15,0,27,62,4,24,278
4,1,10,8,2,6,9905
1,3,4,19,3,9,87078
10,0,2,11,0,1,12527
0,1,8,0,0,2,20306
7,4,4,0,0,4,36614
2,4,10,1,0,2,27993
5,2,8,3,0,1,31439
34,27,15,1,2,7,9067
2,6,10,6,2,13,9059
1,4,12,3,1,11,193
6,3,21,0,1,8,25066
3,5,6,0,1,5,46797
2,6,6,0,1,11,12122
0,2,8,0,1,5,11381
1,4,5,1,1,6,32636
17,6,14,7,7,10,36141
0,1,5,0,0,2,95963
10,7,8,0,0,3,1587
0,6,5,3,0,5,9271
0,6,4,5,0,3,2064
6,6,10,4,0,3,19855
1,2,3,21,3,3,60855
2,7,5,4,3,5,236
1,11,3,1,1,0,48287
6,3,10,1,1,8,3049
2,0,4,0,2,6,2759
9,2,10,3,1,7,12635
7,2,4,22,2,9,10497
1,3,7,0,1,7,11382
1,4,13,55,4,26,9331
1,3,11,1,4,11,10731
0,3,4,3,4,3,10464
3,2,11,0,1,2,34152
1,4,11,10,1,14,9495
0,1,3,1,1,2,29973
3,3,9,7,4,20,888
24,7,35,90,9,32,13
5,9,15,2,3,8,712
1,6,7,2,1,7,16295
4,3,2,0,2,0,48992
1,7,8,12,5,9,10879
18,6,17,1,1,5,10660
1,1,4,5,0,8,10714
4,2,1,9,0,0,41647
5,7,16,16,2,17,8587
7,2,3,0,0,7,1689
17,11,14,24,5,8,11596
1,4,11,7,1,6,854
17,8,34,0,0,9,9359
0,11,20,2,0,4,23333
8,14,9,1,0,12,36593
1,4,5,0,0,11,12280
2,7,8,2,7,4,2788
5,2,8,0,2,10,10427
0,2,8,2,2,8,11011
1,2,4,0,2,1,49803
0,3,7,1,0,6,8987
26,11,21,0,2,8,1637
0,2,7,0,0,3,15128
4,2,9,3,2,10,8831
0,3,7,5,5,13,36955
11,21,11,5,0,6,10449
0,5,10,13,7,16,10395
1,6,17,2,3,13,12160
0,2,5,1,0,1,40480
1,2,4,7,3,9,52038
0,3,6,7,4,7,29444
18,8,14,0,0,2,26352
12,1,2,2,0,4,39953
0,3,5,4,0,0,41580
8,1,1,7,0,2,315
0,4,5,1,0,1,22067
2,0,1,0,0,2,18242
1,2,11,7,1,10,11667
1,2,6,0,0,1,32502
1,3,4,0,0,2,267188
1,1,3,2,0,1,28732
2,4,5,5,1,5,75555
0,0,0,0,0,1,42981
0,2,4,1,0,2,278939
0,2,3,3,0,0,291731
0,1,3,1,0,0,226229
1,2,3,0,0,2,203119
0,1,3,0,0,1,172923
0,0,1,2,0,0,316098
1,1,6,1,0,4,8011
0,1,2,0,0,1,171857
2,1,9,2,2,9,2654
0,2,4,1,0,1,18069
0,0,7,0,0,1,19092
1,8,14,2,0,12,2758
0,0,1,0,0,2,38129
8,9,7,0,3,5,10436
0,2,12,7,2,7,13595
6,1,6,11,3,8,46094
1,3,5,1,2,5,9409
0,4,5,1,1,4,11853
0,2,3,0,0,2,16771
11,2,21,2,1,9,46924
1,6,5,2,0,8,11041
1,3,19,0,1,13,306
2,2,16,2,6,7,14522
1,3,4,1,0,1,26203
3,4,8,3,1,10,178
1,2,7,5,0,11,19819
0,3,3,5,3,7,57834
2,4,4,5,2,9,4722
12,2,6,7,3,6,18215
22,2,7,28,4,13,1607
0,3,10,1,0,3,26391
3,0,5,1,0,1,117553
22,7,34,23,3,14,6075
2,2,10,0,0,5,11310
1,4,11,1,1,5,18658
1,3,11,10,5,14,9350
2,9,20,1,1,10,9612
4,3,8,3,2,10,2124
0,2,6,1,0,1,26261
0,3,8,6,3,10,19176
2,1,3,0,0,2,49299
40,9,27,9,3,14,11566
0,9,8,2,1,5,9571
4,2,16,91,5,28,9739
0,0,0,0,0,1,24257
3,7,8,6,6,10,34444
0,3,7,1,1,6,26141
13,1,3,4,0,2,10997
0,3,4,5,5,7,50463
38,28,16,6,6,12,10443
2,1,5,0,0,2,20239
17,2,5,4,3,5,16297
6,4,5,0,0,2,18551
1,2,2,1,0,1,25440
4,4,8,0,1,13,9024
1,4,17,2,2,15,37233
5,3,7,2,4,5,1634
16,5,13,9,2,8,13815
29,7,26,10,3,18,5503
7,0,24,28,2,20,35588
1,2,8,0,2,11,2087
0,1,5,0,0,3,41579
4,1,0,3,7,1,18620
0,2,4,0,0,2,41006
1,3,5,0,0,6,4916
5,3,8,26,4,13,2019
2,5,7,0,1,5,31642
2,2,9,2,1,11,9255
3,5,3,10,3,4,26271
9,2,8,25,5,7,10612
5,6,5,2,4,7,2259
4,3,6,2,0,2,16097
3,3,18,4,0,6,11934
3,5,4,3,3,9,106143
0,2,4,14,4,14,12475
15,5,20,12,9,15,9386
27,4,27,30,5,20,7984
0,4,5,0,0,1,59930
0,8,3,1,1,1,15765
0,1,4,0,0,4,31643
3,3,9,5,2,9,6
6,2,19,85,9,24,329
1,4,6,22,4,14,10909
2,2,7,0,1,6,507
2,5,5,1,0,4,34024
